Wahl;Wahlsprengel;Wahlberechtigte;abgegebene Stimmen;gültige Stimmen;ÖVP;FPÖ;SPÖ;GRÜNE;NEOS;MFG;KPÖ;BESTE;UBB;R
"LT21";"001";500;312;306;72;31;53;75;35;20;19;1;0;0
"LT21";"003";492;339;337;73;25;55;124;34;11;8;5;1;1
"LT21";"004";563;370;363;112;28;52;109;31;28;3;0;0;0
"LT21";"005";512;395;392;126;26;43;141;31;10;12;2;0;1
"LT21";"020";547;378;374;73;26;78;126;33;15;18;5;0;0
"LT21";"021";459;331;322;63;30;64;103;23;10;28;0;0;1
"LT21";"023";580;354;344;64;33;96;88;23;18;19;3;0;0
"LT21";"024";586;350;343;94;35;75;95;26;10;7;0;0;1
"LT21";"026";509;311;306;114;20;46;78;29;5;10;1;3;0
"LT21";"027";507;312;306;88;20;44;94;35;12;11;0;1;1
"LT21";"029";668;419;409;105;55;92;97;31;11;17;0;0;1
"LT21";"040";667;486;478;103;45;114;143;41;22;7;1;1;1
"LT21";"041";547;356;347;86;53;85;63;24;13;20;1;2;0
"LT21";"043";642;416;409;87;63;107;105;21;13;9;2;1;1
"LT21";"044";593;307;300;53;53;105;47;17;12;10;3;0;0
"LT21";"046";606;383;377;105;46;93;80;27;13;12;0;0;1
"LT21";"047";547;308;303;70;61;79;46;13;15;18;1;0;0
"LT21";"048";669;382;356;93;59;121;41;13;10;18;0;0;1
"LT21";"050";608;324;317;96;51;79;52;11;12;12;2;1;1
"LT21";"061";656;433;425;86;34;91;153;28;20;12;1;0;0
"LT21";"063";541;357;348;76;24;73;114;19;12;28;2;0;0
"LT21";"064";511;352;348;89;41;50;118;26;13;10;0;0;1
"LT21";"065";558;339;335;75;37;63;96;27;13;21;2;0;1
"LT21";"066";534;323;319;61;29;63;116;27;8;14;0;0;1
"LT21";"067";526;308;302;87;28;63;80;21;9;13;1;0;0
"LT21";"069";615;409;399;105;43;63;108;36;27;17;0;0;0
"LT21";"070";549;281;275;61;29;61;76;14;16;15;3;0;0
"LT21";"082";443;277;273;60;35;46;73;23;16;16;1;1;2
"LT21";"083";591;422;412;159;27;59;106;42;11;8;0;0;0
"LT21";"084";565;367;355;93;43;70;91;17;18;22;0;0;1
"LT21";"085";649;435;424;106;30;81;134;38;17;12;4;1;1
"LT21";"086";574;380;370;102;30;41;129;40;12;15;1;0;0
"LT21";"087";618;419;412;124;38;61;123;49;7;8;2;0;0
"LT21";"089";579;361;353;98;30;81;92;27;9;14;2;0;0
"LT21";"101";488;364;356;128;26;30;112;34;21;5;0;0;0
"LT21";"102";550;420;408;132;34;55;118;42;15;12;0;0;0
"LT21";"104";470;356;349;90;26;43;135;29;10;13;1;0;2
"LT21";"120";444;330;316;147;30;21;68;31;13;2;0;0;4
"LT21";"140";586;458;455;162;44;45;129;46;22;4;2;0;1
"LT21";"142";576;430;417;127;40;107;84;26;26;4;1;1;1
"LT21";"143";626;427;420;131;38;86;106;42;11;6;0;0;0
"LT21";"145";589;397;376;75;37;163;46;20;16;18;1;0;0
"LT21";"146";607;409;400;69;50;165;63;18;26;6;2;0;1
"LT21";"147";698;571;562;203;41;77;151;59;19;7;3;2;0
"LT21";"148";592;416;409;125;33;106;83;31;18;10;3;0;0
